lng,lat
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
-111.7218,33.3853
-112.056884,33.466236
-111.876353,33.391265
-112.178674,33.610493
-104.7064468,40.416474
-104.791354,40.407613
-105.006964,40.522586
-105.050167,40.414433
-112.256546,33.479786
-112.371916,33.661209
-112.283214,33.605016
-111.564612,33.215764
-111.686551,33.41256
-111.566002,33.395765
-111.708633,32.882404
-111.462552,36.918657
111.32165,34.231133
-110.944725,32.244141
-110.928953,32.177523
-107.948441,44.013807
-101.717665,41.152451
-104.192652,42.083953
-104.95972,42.051211
-103.220063,40.613668
-103.648442,40.256949
-120.627043,40.437992
-118.765253,39.47796
-111.856109,33.286741
